,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Moussaka,351mg,567,123mg,5.4g,57mcg,3mg,60mg,9mg,791,742mg,23.6g,4.43971633911133,19644/moussaka/,greek,18.0g,1017mg,14g,0mg,Moussaka,29.1g,39.4g,920IU,0mg,6mg
Greek Pasta with Tomatoes and White Beans,338mg,460,17mg,11.5g,228mcg,12mg,153mg,7mg,658,1362mg,23.4g,4.16455698013306,11669/greek-pasta-with-tomatoes-and-white-beans/,greek,3.0g,593mg,8g,0mg,Greek Pasta with Tomatoes and White Beans,79g,5.9g,8321IU,0mg,35mg
Feta Cheese Turkey Burgers,217mg,318,123mg,0.5g,22mcg,2mg,31mg,9mg,459,300mg,25.5g,4.56166982650757,14572/feta-cheese-turkey-burgers/,greek,9.0g,800mg,2g,0mg,Feta Cheese Turkey Burgers,3.6g,21.9g,226IU,1mg,0mg
Greek Chicken,38mg,412,97mg,1.4g,9mcg,2mg,30mg,10mg,518,319mg,31.1g,4.46218490600586,14527/greek-chicken/,greek,7.0g,95mg,0g,0mg,Greek Chicken,3.5g,30.7g,145IU,0mg,22mg
Norway's Best Pepper Cookies,16mg,144,21mg,0.5g,25mcg,1mg,4mg,1mg,53,21mg,1.5g,4.47499990463257,11086/norways-best-pepper-cookies/,scandinavian,5.0g,108mg,7g,0mg,Norway's Best Pepper Cookies,17.3g,7.8g,242IU,0mg,0mg
Finnish Pulla,25mg,178,34mg,0.9g,66mcg,2mg,10mg,3mg,262,68mg,4.7g,4.78645849227905,7010/finnish-pulla/,scandinavian,2.0g,99mg,7g,0mg,Finnish Pulla,30.9g,3.8g,138IU,0mg,0mg
Rosenmunnar,2mg,47,7mg,0.1g,7mcg,0mg,1mg,0mg,855,6mg,0.4g,4.57719278335571,9745/rosenmunnar/,scandinavian,2.0g,19mg,2g,0mg,Rosenmunnar,5.6g,2.6g,79IU,0mg,0mg
Rosettes I,12mg,561,13mg,0.1g,10mcg,0mg,2mg,0mg,203,21mg,1.1g,4.7425742149353,9809/rosettes-i/,scandinavian,8.0g,28mg,5g,0mg,Rosettes I,8.2g,59.2g,32IU,0mg,0mg
Swedish Nuts II,22mg,298,15mg,2.7g,7mcg,1mg,35mg,1mg,125,125mg,3.1g,4.685184955596919,15037/swedish-nuts-ii/,scandinavian,5.0g,48mg,14g,0mg,Swedish Nuts II,16.5g,26.2g,193IU,0mg,0mg
Norwegian Lefse,27mg,368,16mg,5.5g,63mcg,2mg,59mg,6mg,125,918mg,6.9g,4.45454549789429,18082/norwegian-lefse/,scandinavian,4.0g,523mg,3g,0mg,Norwegian Lefse,71.2g,6.6g,197IU,1mg,20mg
Danish Almond Puff,25mg,424,131mg,0.8g,67mcg,2mg,10mg,3mg,47,78mg,5.9g,4.60465097427368,64780/danish-almond-puff/,scandinavian,15.0g,193mg,18g,0mg,Danish Almond Puff,42g,25.9g,804IU,0mg,0mg
Danish Christmas Red Cabbage,24mg,144,0mg,1g,9mcg,0mg,8mg,0mg,100,116mg,0.7g,4.521126747131349,79136/danish-christmas-red-cabbage/,scandinavian,0.0g,402mg,35g,0mg,Danish Christmas Red Cabbage,36.8g,0.1g,527IU,0mg,27mg
Mom's Buttermilk Pancakes,93mg,210,65mg,0.8g,67mcg,2mg,16mg,3mg,1k,156mg,7.1g,4.25729179382324,203229/moms-buttermilk-pancakes/,scandinavian,4.0g,1027mg,3g,0mg,Mom's Buttermilk Pancakes,27.2g,7.9g,256IU,0mg,1mg
Swedish Meatballs (Svenska Kottbullar),65mg,309,108mg,0.6g,31mcg,2mg,21mg,7mg,1k,290mg,16.9g,4.63652801513672,216564/swedish-meatballs-svenska-kottbullar/,scandinavian,11.0g,794mg,3g,0mg,Swedish Meatballs (Svenska Kottbullar),11.9g,21.3g,392IU,0mg,1mg
Swedish Meatballs I,306mg,662,178mg,0.8g,33mcg,4mg,59mg,13mg,456,712mg,31.2g,4.05835008621216,15449/swedish-meatballs-i/,scandinavian,19.0g,1193mg,12g,0mg,Swedish Meatballs I,26.3g,47.8g,550IU,0mg,4mg
Hasselback Potatoes,72mg,247,19mg,5.1g,39mcg,2mg,55mg,4mg,796,965mg,6.1g,4.24494361877441,79518/hasselback-potatoes/,scandinavian,4.0g,171mg,2g,0mg,Hasselback Potatoes,41.1g,7.1g,201IU,1mg,45mg
Chef John's Swedish Meatballs,76mg,479,194mg,0.7g,32mcg,3mg,32mg,10mg,900,429mg,28.2g,4.62745094299316,231169/chef-johns-swedish-meatballs/,scandinavian,17.0g,1206mg,2g,0mg,Chef John's Swedish Meatballs,10.1g,35.8g,648IU,0mg,1mg
The Amazing Swedish Meatball,116mg,560,134mg,1.4g,43mcg,3mg,37mg,11mg,265,453mg,24.6g,3.44978165626526,53763/the-amazing-swedish-meatball/,scandinavian,16.0g,2175mg,3g,0mg,The Amazing Swedish Meatball,18.6g,42.7g,496IU,0mg,3mg
Easy Swedish Meatball Sauce ,77mg,393,140mg,0.8g,23mcg,2mg,24mg,4mg,570,299mg,15g,4.2358078956603995,218894/easy-swedish-meatball-sauce/,scandinavian,17.0g,358mg,1g,0mg,Easy Swedish Meatball Sauce ,12.2g,31.5g,1080IU,0mg,5mg
Easy Swedish Apple Pie,18mg,359,69mg,2.2g,32mcg,1mg,8mg,2mg,277,126mg,2.8g,4.59471368789673,54628/easy-swedish-apple-pie/,scandinavian,11.0g,133mg,35g,0mg,Easy Swedish Apple Pie,49.3g,18g,572IU,0mg,4mg
Norwegian Pancakes - Pannekaken,88mg,145,98mg,0.6g,53mcg,1mg,14mg,3mg,250,147mg,7.3g,4.58571434020996,83723/norwegian-pancakes-pannekaken/,scandinavian,2.0g,157mg,4g,0mg,Norwegian Pancakes - Pannekaken,19.6g,3.9g,237IU,0mg,0mg
Pebber Nodder (Danish Christmas Cookies),2mg,37,9mg,0.1g,6mcg,0mg,1mg,0mg,208,6mg,0.5g,4.37373733520508,79471/pebber-nodder-danish-christmas-cookies/,scandinavian,1.0g,15mg,2g,0mg,Pebber Nodder (Danish Christmas Cookies),4.4g,2g,62IU,0mg,0mg
Yorkshire Pudding,44mg,157,89mg,0.6g,54mcg,2mg,16mg,3mg,375,121mg,11.8g,4.530386924743651,9239/yorkshire-pudding/,uk-and-ireland,1.0g,261mg,1g,0mg,Yorkshire Pudding,19.1g,3.3g,135IU,0mg,0mg
Irish Bacon And Cabbage Soup,73mg,276,21mg,6g,58mcg,4mg,58mg,6mg,210,1096mg,12.3g,4.53125,100378/irish-bacon-and-cabbage-soup/,uk-and-ireland,3.0g,825mg,5g,0mg,Irish Bacon And Cabbage Soup,38.4g,8.1g,1239IU,1mg,55mg
Ferg's Ulster Fry-up,89mg,643,227mg,1.9g,54mcg,5mg,33mg,7mg,20,401mg,21g,4.699999809265139,100526/fergs-ulster-fry-up/,uk-and-ireland,11.0g,957mg,3g,0mg,Ferg's Ulster Fry-up,32.4g,47.7g,695IU,0mg,6mg
Mushy Peas II,68mg,216,15mg,6.2g,97mcg,5mg,43mg,3mg,10,328mg,7g,3.46153855323792,52024/mushy-peas-ii/,uk-and-ireland,5.0g,397mg,7g,0mg,Mushy Peas II,19.7g,13g,3076IU,0mg,31mg
Beef Wellington,30mg,744,131mg,1.2g,65mcg,5mg,32mg,11mg,509,385mg,26.2g,4.525280952453611,16899/beef-wellington/,uk-and-ireland,21.0g,434mg,1g,0mg,Beef Wellington,29.6g,57.2g,533IU,0mg,1mg
Cawl (Traditional Welsh Broth),76mg,154,12mg,5g,62mcg,2mg,44mg,5mg,16,709mg,9g,4.349999904632569,48770/cawl-traditional-welsh-broth/,uk-and-ireland,1.0g,248mg,7g,0mg,Cawl (Traditional Welsh Broth),23.8g,3.1g,2404IU,1mg,48mg
Cock a Leekie Soup,61mg,243,126mg,2.1g,55mcg,3mg,62mg,17mg,63,544mg,32.4g,4.4745764732360795,16360/cock-a-leekie-soup/,uk-and-ireland,2.0g,503mg,3g,0mg,Cock a Leekie Soup,12.4g,6.5g,1022IU,1mg,8mg
Vegetarian Haggis,24mg,163,19mg,5.4g,44mcg,2mg,20mg,2mg,34,166mg,6.6g,4.11111116409302,81466/vegetarian-haggis/,uk-and-ireland,1.0g,176mg,2g,0mg,Vegetarian Haggis,22.5g,5.6g,984IU,0mg,3mg
English Trifle to Die For,141mg,566,179mg,3.3g,37mcg,1mg,37mg,2mg,125,188mg,6.7g,4.744897842407231,18981/english-trifle-to-die-for/,uk-and-ireland,18.0g,350mg,32g,0mg,English Trifle to Die For,63.6g,33.2g,1219IU,0mg,7mg
Amazingly Easy Irish Soda Bread,53mg,172,16mg,0.7g,48mcg,1mg,8mg,2mg,1k,56mg,3.5g,4.47800588607788,16947/amazingly-easy-irish-soda-bread/,uk-and-ireland,2.0g,269mg,3g,0mg,Amazingly Easy Irish Soda Bread,22.5g,7.5g,290IU,0mg,0mg
Irish Chicken and Dumplings,162mg,595,58mg,7.8g,150mcg,6mg,90mg,20mg,1k,1376mg,33.9g,4.53888463973999,11843/irish-chicken-and-dumplings/,uk-and-ireland,3.0g,2402mg,14g,0mg,Irish Chicken and Dumplings,94.4g,9.2g,11398IU,1mg,45mg
Irresistible Irish Soda Bread,123mg,192,27mg,0.8g,61mcg,2mg,12mg,3mg,1k,102mg,5.1g,4.56606864929199,7095/irresistible-irish-soda-bread/,uk-and-ireland,3.0g,497mg,8g,0mg,Irresistible Irish Soda Bread,31.7g,4.9g,149IU,0mg,0mg
Guinness(R) Corned Beef,19mg,277,61mg,0g,6mcg,2mg,17mg,7mg,1k,355mg,16.7g,4.41409683227539,46530/guinness-corned-beef/,uk-and-ireland,5.0g,1384mg,13g,0mg,Guinness(R) Corned Beef,13.6g,16.9g,0IU,0mg,31mg
Irish Soda Bread,164mg,511,67mg,3.2g,126mcg,4mg,35mg,6mg,919,389mg,11.3g,4.69093418121338,18456/irish-soda-bread/,uk-and-ireland,5.0g,543mg,15g,1mg,Irish Soda Bread,99.5g,8.6g,274IU,0mg,1mg
Beef and Guinness(R) Stew,91mg,528,96mg,5.1g,42mcg,4mg,62mg,11mg,1k,1015mg,29.4g,4.85261726379395,234534/beef-and-guinness-stew/,uk-and-ireland,10.0g,1605mg,9g,0mg,Beef and Guinness(R) Stew,42.1g,24.6g,5365IU,1mg,20mg
Diane's Colcannon,59mg,250,26mg,4.6g,46mcg,1mg,43mg,3mg,844,756mg,5.8g,4.75558662414551,58642/dianes-colcannon/,uk-and-ireland,6.0g,217mg,4g,0mg,Diane's Colcannon,29.8g,12.6g,258IU,1mg,45mg
Braised Corned Beef Brisket,28mg,455,162mg,0.7g,17mcg,3mg,24mg,8mg,1k,307mg,30.6g,4.80608987808228,231030/braised-corned-beef-brisket/,uk-and-ireland,11.0g,1877mg,2g,0mg,Braised Corned Beef Brisket,5.4g,33.7g,1IU,0mg,4mg
Scottish Shortbread IV,16mg,256,41mg,0.6g,44mcg,1mg,6mg,2mg,899,42mg,2.6g,4.57190656661987,11341/scottish-shortbread-iv/,uk-and-ireland,10.0g,112mg,9g,0mg,Scottish Shortbread IV,26.9g,15.6g,473IU,0mg,0mg
Irish Lamb Stew,82mg,672,163mg,4g,58mcg,5mg,67mg,21mg,823,936mg,46.4g,4.59892082214355,16035/irish-lamb-stew/,uk-and-ireland,16.0g,1189mg,6g,0mg,Irish Lamb Stew,26.3g,39.3g,8245IU,1mg,17mg
Sky High Yorkshire Pudding,60mg,160,65mg,0.6g,48mcg,1mg,11mg,2mg,854,106mg,5.6g,4.37873125076294,95339/sky-high-yorkshire-pudding/,uk-and-ireland,2.0g,40mg,2g,0mg,Sky High Yorkshire Pudding,17.9g,7.2g,158IU,0mg,0mg
Hungarian Poppy Seed Filling,227mg,152,22mg,1.4g,12mcg,1mg,49mg,1mg,26,131mg,3.8g,4.86666679382324,97456/hungarian-poppy-seed-filling/,eastern-european,2.0g,50mg,12g,0mg,Hungarian Poppy Seed Filling,13.5g,10g,180IU,0mg,0mg
Kolachky,44mg,241,34mg,0.9g,30mcg,1mg,18mg,1mg,116,71mg,3.9g,4.571428775787349,26159/kolachky/,eastern-european,8.0g,37mg,4g,0mg,Kolachky,17.8g,17.9g,369IU,0mg,0mg
Serbian Cevapcici,55mg,690,223mg,0.6g,24mcg,5mg,61mg,23mg,86,879mg,62.8g,4.5588235855102495,80398/serbian-cevapcici/,eastern-european,18.0g,1097mg,0g,1mg,Serbian Cevapcici,2.1g,46.1g,350IU,1mg,3mg
Slovak Stuffed Cabbage,101mg,556,101mg,6.9g,91mcg,5mg,60mg,12mg,350,876mg,25.9g,4.50409841537476,14597/slovak-stuffed-cabbage/,eastern-european,14.0g,2096mg,17g,1mg,Slovak Stuffed Cabbage,31.6g,36.5g,985IU,1mg,110mg
Real Hungarian Goulash (No Tomato Paste Here),38mg,348,111mg,2.6g,24mcg,5mg,37mg,7mg,129,451mg,32.1g,4.5,235135/real-hungarian-goulash-no-tomato-paste-here/,eastern-european,8.0g,76mg,4g,0mg,Real Hungarian Goulash (No Tomato Paste Here),8.9g,20.1g,1806IU,1mg,8mg
Rice Bread (Pirog),64mg,288,27mg,1.3g,93mcg,2mg,17mg,4mg,6,169mg,6.4g,4.66666650772095,6994/rice-bread-pirog/,eastern-european,2.0g,94mg,14g,0mg,Rice Bread (Pirog),47.5g,8g,365IU,0mg,0mg
Simple Golabki,133mg,225,50mg,6.6g,104mcg,4mg,53mg,7mg,43,791mg,18.2g,4.2962961196899405,221395/simple-golabki/,eastern-european,4.0g,1432mg,10g,0mg,Simple Golabki,18.7g,9.6g,347IU,1mg,86mg
Bosnian Style Cornbread (Razljevak),128mg,245,64mg,0.8g,50mcg,1mg,17mg,3mg,9,150mg,6.6g,4.22222232818604,206164/bosnian-style-cornbread-razljevak/,eastern-european,3.0g,557mg,3g,0mg,Bosnian Style Cornbread (Razljevak),22g,14.6g,112IU,0mg,1mg
Beef Stroganoff III,33mg,304,83mg,0.9g,21mcg,2mg,19mg,5mg,4k,213mg,16.6g,4.585666179656981,25202/beef-stroganoff-iii/,eastern-european,12.0g,619mg,1g,0mg,Beef Stroganoff III,5.7g,23g,488IU,0mg,2mg
Hungarian Mushroom Soup,103mg,201,32mg,2.4g,41mcg,2mg,27mg,6mg,2k,542mg,7.5g,4.73101282119751,17897/hungarian-mushroom-soup/,eastern-european,8.0g,829mg,6g,0mg,Hungarian Mushroom Soup,14.8g,13.5g,1271IU,0mg,11mg
Russian Tea Cakes I,6mg,102,14mg,0.4g,16mcg,0mg,7mg,1mg,2k,24mg,1.3g,4.6916604042053205,10192/russian-tea-cakes-i/,eastern-european,3.0g,37mg,3g,0mg,Russian Tea Cakes I,8.2g,7.3g,158IU,0mg,0mg
Stuffed Cabbage Rolls,33mg,223,66mg,0.9g,37mcg,2mg,26mg,6mg,2k,338mg,12.8g,4.34585905075073,26661/stuffed-cabbage-rolls/,eastern-european,5.0g,657mg,3g,0mg,Stuffed Cabbage Rolls,13.3g,13.1g,1783IU,0mg,25mg
Russian Mushroom and Potato Soup,50mg,167,23mg,2.7g,36mcg,1mg,30mg,3mg,1k,541mg,4.5g,4.74782609939575,80773/russian-mushroom-and-potato-soup/,eastern-european,5.0g,928mg,3g,0mg,Russian Mushroom and Potato Soup,21.2g,7.7g,2490IU,0mg,19mg
Kielbasa and Cabbage,108mg,377,63mg,6g,95mcg,2mg,44mg,5mg,1k,632mg,17.2g,4.52544689178467,14714/kielbasa-and-cabbage/,eastern-european,9.0g,952mg,12g,1mg,Kielbasa and Cabbage,20.2g,26g,253IU,0mg,79mg
"Serbian Ground Beef, Veggie, and Potato Bake",70mg,367,72mg,5g,52mcg,3mg,58mg,11mg,671,988mg,22.7g,4.4150075912475595,70589/serbian-ground-beef-veggie-and-potato-bake/,eastern-european,6.0g,567mg,4g,0mg,"Serbian Ground Beef, Veggie, and Potato Bake",27.2g,18.1g,3408IU,1mg,50mg
Lentil Soup,114mg,255,9mg,13.7g,206mcg,4mg,67mg,4mg,624,747mg,13.7g,4.59069776535034,16016/lentil-soup/,eastern-european,1.0g,1099mg,7g,0mg,Lentil Soup,33.3g,6g,5621IU,0mg,21mg
Apple Banana Cupcakes,9mg,151,16mg,0.8g,23mcg,1mg,6mg,1mg,469,67mg,1.8g,4.668997764587401,25552/apple-banana-cupcakes/,eastern-european,2.0g,158mg,13g,0mg,Apple Banana Cupcakes,22.3g,6.3g,33IU,0mg,1mg
Sweet Russian Cabbage Soup,211mg,688,128mg,10.4g,159mcg,8mg,89mg,16mg,531,1427mg,36.9g,4.6304349899292,94031/sweet-russian-cabbage-soup/,eastern-european,14.0g,2396mg,42g,0mg,Sweet Russian Cabbage Soup,55.5g,35.9g,6420IU,1mg,124mg
Ukrainian Red Borscht Soup,78mg,257,31mg,4.8g,67mcg,2mg,43mg,5mg,590,837mg,10.1g,4.46699285507202,84450/ukrainian-red-borscht-soup/,eastern-european,5.0g,626mg,8g,0mg,Ukrainian Red Borscht Soup,24.4g,13.8g,3665IU,0mg,39mg
Lebkuchen VI,10mg,61,3mg,0.3g,10mcg,0mg,8mg,0mg,52,50mg,0.7g,4.31914901733398,25811/lebkuchen-vi/,german,0.0g,15mg,9g,0mg,Lebkuchen VI,13.8g,0.5g,4IU,0mg,0mg
Jaeger Schnitzel,70mg,455,169mg,3.2g,154mcg,4mg,76mg,23mg,78,813mg,38.6g,4.23214292526245,85935/jaeger-schnitzel/,german,3.0g,828mg,3g,2mg,Jaeger Schnitzel,53.5g,9.1g,96IU,1mg,2mg
Crispy Roasted Chicken,31mg,495,129mg,1.2g,13mcg,3mg,41mg,13mg,194,433mg,41.5g,4.65909099578857,228363/crispy-roasted-chicken/,german,8.0g,446mg,1g,0mg,Crispy Roasted Chicken,3.1g,34.5g,1350IU,1mg,2mg
Lengenberg's Boiled Potatoes,7mg,204,0mg,4.3g,8mcg,0mg,3mg,0mg,34,28mg,5.4g,4.40000009536743,218445/lengenbergs-boiled-potatoes/,german,0.0g,57mg,0g,0mg,Lengenberg's Boiled Potatoes,46.2g,0.3g,421IU,0mg,7mg
German Spaetzle Dumplings,47mg,141,73mg,0.7g,49mcg,1mg,15mg,2mg,852,75mg,4.7g,4.50493431091309,11793/german-spaetzle-dumplings/,german,3.0g,269mg,1g,0mg,German Spaetzle Dumplings,16.8g,6g,324IU,0mg,2mg
Bee Sting Cake (Bienenstich) II,73mg,226,46mg,1.3g,47mcg,1mg,27mg,2mg,57,194mg,4.9g,3.73684215545654,8039/bee-sting-cake-bienenstich-ii/,german,7.0g,56mg,6g,0mg,Bee Sting Cake (Bienenstich) II,20.2g,14.4g,434IU,0mg,0mg
Semmelknoedel (Bread Dumplings),169mg,506,113mg,3.9g,202mcg,5mg,51mg,10mg,101,345mg,20.5g,4.51282072067261,85194/semmelknoedel-bread-dumplings/,german,6.0g,1220mg,8g,1mg,Semmelknoedel (Bread Dumplings),78.8g,12.3g,495IU,0mg,4mg
Kaiserschmarren,85mg,472,196mg,3.3g,85mcg,3mg,29mg,5mg,32,445mg,11.6g,4.5,171660/kaiserschmarren/,german,4.0g,109mg,59g,0mg,Kaiserschmarren,89.9g,8.9g,425IU,0mg,2mg
Juicy Roasted Chicken,28mg,423,97mg,0.2g,11mcg,2mg,28mg,10mg,5k,305mg,30.9g,4.7075300216674805,83557/juicy-roasted-chicken/,german,7.0g,662mg,1g,0mg,Juicy Roasted Chicken,1.2g,32.1g,799IU,0mg,0mg
German Apple Cake I,7mg,201,16mg,0.9g,22mcg,1mg,4mg,1mg,2k,40mg,1.7g,4.57599449157715,7915/german-apple-cake-i/,german,1.0g,107mg,19g,0mg,German Apple Cake I,27.7g,9.7g,32IU,0mg,1mg
Authentic German Potato Salad,16mg,183,10mg,2.2g,14mcg,1mg,26mg,3mg,1k,426mg,5.4g,4.61716175079346,83097/authentic-german-potato-salad/,german,1.0g,796mg,11g,0mg,Authentic German Potato Salad,32.2g,3.9g,86IU,0mg,10mg
Hot German Potato Salad III,17mg,205,10mg,2.8g,18mcg,1mg,32mg,3mg,972,518mg,4.3g,4.55126810073853,18085/hot-german-potato-salad-iii/,german,2.0g,512mg,4g,0mg,Hot German Potato Salad III,32.9g,6.5g,10IU,0mg,11mg
Jagerschnitzel,131mg,556,157mg,3g,53mcg,4mg,52mg,13mg,600,540mg,32.9g,4.57854413986206,60708/jagerschnitzel/,german,12.0g,683mg,4g,1mg,Jagerschnitzel,29.9g,33.5g,256IU,1mg,2mg
German Pancakes II,80mg,235,210mg,0.6g,64mcg,2mg,15mg,3mg,807,153mg,9.9g,4.491646766662599,36900/german-pancakes-ii/,german,7.0g,190mg,2g,0mg,German Pancakes II,18.2g,13.6g,557IU,0mg,0mg
Grandma Jeanette's Amazing German Red Cabbage,47mg,148,15mg,2.7g,17mcg,1mg,17mg,1mg,687,266mg,1.4g,4.64691352844238,139977/grandma-jeanettes-amazing-german-red-cabbage/,german,4.0g,1375mg,19g,0mg,Grandma Jeanette's Amazing German Red Cabbage,23.6g,6g,1172IU,0mg,51mg
German Potato Salad,38mg,328,19mg,5.1g,46mcg,2mg,55mg,5mg,460,992mg,8g,4.54855632781982,14411/german-potato-salad/,german,4.0g,250mg,8g,0mg,German Potato Salad,46.1g,12.8g,139IU,1mg,45mg
German Rouladen,23mg,264,59mg,1.8g,13mcg,2mg,29mg,7mg,432,405mg,19.1g,4.574999809265139,25194/german-rouladen/,german,8.0g,1450mg,4g,0mg,German Rouladen,7.7g,17.4g,369IU,0mg,4mg
Slow Cooker Kielbasa and Beer,42mg,383,75mg,1.9g,21mcg,2mg,27mg,7mg,275,472mg,14.7g,4.1153845787048295,21380/slow-cooker-kielbasa-and-beer/,german,11.0g,1491mg,3g,0mg,Slow Cooker Kielbasa and Beer,7.8g,31.1g,13IU,0mg,10mg
Empanadas I,24mg,415,24mg,2.9g,55mcg,3mg,27mg,5mg,66,422mg,11.3g,3.8363635540008505,12508/empanadas-i/,spanish,5.0g,312mg,27g,0mg,Empanadas I,49.7g,19.7g,400IU,0mg,17mg
Tortilla Espanola,92mg,340,279mg,5.2g,95mcg,4mg,63mg,5mg,77,1018mg,14g,4.449999809265139,213226/tortilla-espanola/,spanish,4.0g,126mg,4g,0mg,Tortilla Espanola,37.3g,15.7g,1713IU,1mg,59mg
Authentic Paella Valenciana,85mg,783,82mg,4.5g,230mcg,7mg,48mg,16mg,59,401mg,34.2g,4.07499980926514,73337/authentic-paella-valenciana/,spanish,9.0g,328mg,2g,1mg,Authentic Paella Valenciana,87.3g,31.3g,759IU,1mg,8mg
Chef John's Patatas Bravas,60mg,678,21mg,5.8g,41mcg,3mg,64mg,4mg,89,1039mg,5.6g,4.59183692932129,230569/chef-johns-patatas-bravas/,spanish,8.0g,3885mg,3g,0mg,Chef John's Patatas Bravas,43.3g,55.3g,962IU,1mg,47mg
Spanish Style Albondigas in a Sunny Mediterranean Sauce,159mg,615,87mg,3.8g,62mcg,6mg,63mg,13mg,10,874mg,26.4g,4.44444465637207,229484/spanish-style-albondigas-in-a-sunny-mediterranean-sauce/,spanish,11.0g,760mg,8g,0mg,Spanish Style Albondigas in a Sunny Mediterranean Sauce,26.4g,40.1g,1327IU,1mg,30mg
Broiled Spanish Mackerel,27mg,259,50mg,1.3g,3mcg,1mg,68mg,8mg,41,310mg,16.2g,4.66666650772095,217274/broiled-spanish-mackerel/,spanish,4.0g,56mg,0g,0mg,Broiled Spanish Mackerel,3g,20.9g,228IU,0mg,21mg
Papas Alins or Patatas Alinadas (Andalusian Potatoes),33mg,262,0mg,3.8g,33mcg,2mg,37mg,3mg,2,697mg,3.3g,4.0,246337/papas-alins-or-patatas-alinadas-andalusian-potatoes/,spanish,1.0g,396mg,2g,0mg,Papas Alins or Patatas Alinadas (Andalusian Potatoes),36.6g,9.6g,458IU,0mg,34mg
Spanish Cod,32mg,170,46mg,1.6g,19mcg,1mg,41mg,7mg,212,659mg,21.3g,4.49079751968384,76693/spanish-cod/,spanish,2.0g,597mg,2g,0mg,Spanish Cod,6.5g,6.6g,1038IU,0mg,17mg
Spanish Flan ,273mg,349,100mg,0g,18mcg,1mg,27mg,2mg,1k,353mg,9.5g,4.39384603500366,20979/spanish-flan/,spanish,5.0g,139mg,57g,0mg,Spanish Flan ,56.7g,9.7g,332IU,0mg,2mg
Easy Paella,73mg,736,202mg,2.9g,141mcg,6mg,84mg,28mg,958,778mg,55.7g,4.6129031181335405,84137/easy-paella/,spanish,10.0g,1204mg,2g,1mg,Easy Paella,45.7g,35.1g,1544IU,1mg,31mg
Empanadas,17mg,226,28mg,0.7g,29mcg,1mg,4mg,1mg,567,43mg,1.8g,4.57110071182251,10685/empanadas/,spanish,6.0g,84mg,18g,0mg,Empanadas,32.1g,10.3g,335IU,0mg,2mg
Espinacas con Garbanzos (Spinach with Garbanzo Beans),133mg,169,0mg,6.4g,166mcg,3mg,83mg,2mg,453,450mg,7.3g,4.43969869613647,161535/espinacas-con-garbanzos-spinach-with-garbanzo-beans/,spanish,1.0g,600mg,2g,0mg,Espinacas con Garbanzos (Spinach with Garbanzo Beans),26g,4.9g,8350IU,1mg,10mg
Gazpacho,30mg,39,0mg,1.6g,36mcg,1mg,22mg,1mg,341,411mg,1.6g,4.34387350082397,19770/gazpacho/,spanish,0.0g,305mg,6g,0mg,Gazpacho,9.2g,0.2g,973IU,0mg,38mg
Avocado and Tuna Tapas,33mg,294,27mg,7.4g,99mcg,2mg,56mg,18mg,561,755mg,23.9g,4.67256641387939,139620/avocado-and-tuna-tapas/,spanish,3.0g,154mg,2g,0mg,Avocado and Tuna Tapas,11g,18.2g,782IU,1mg,31mg
Spanish Potato Omelet,35mg,252,124mg,1.6g,31mcg,1mg,18mg,2mg,999,293mg,5.4g,4.4659686088562,20198/spanish-potato-omelet/,spanish,4.0g,54mg,2g,0mg,Spanish Potato Omelet,10.7g,21.5g,555IU,0mg,10mg
Chef John's Chicken and Rice ,56mg,474,77mg,2.4g,127mcg,5mg,47mg,13mg,781,442mg,28.9g,4.55428552627563,238133/chef-johns-chicken-and-rice/,spanish,4.0g,1329mg,4g,0mg,Chef John's Chicken and Rice ,45.1g,19.1g,1880IU,0mg,36mg
Ethiopian Spiced Cottage Cheese,304mg,232,32mg,5.5g,459mcg,7mg,191mg,6mg,9,1434mg,21.1g,4.19999980926514,213254/ethiopian-spiced-cottage-cheese/,east-african,7.0g,676mg,2g,0mg,Ethiopian Spiced Cottage Cheese,14.4g,11.8g,21779IU,1mg,93mg
Ethiopian Cabbage Dish,106mg,428,0mg,10.1g,104mcg,7mg,81mg,5mg,1k,1360mg,6.9g,4.569083213806151,152937/ethiopian-cabbage-dish/,east-african,3.0g,428mg,10g,0mg,Ethiopian Cabbage Dish,54.1g,22.2g,9747IU,1mg,92mg
Green Banana Fries,34mg,214,0mg,0g,0mcg,0mg,0mg,1mg,66,&lt; 1mg,0.9g,4.34375,82495/green-banana-fries/,east-african,2.0g,26mg,0g,0mg,Green Banana Fries,21.1g,15.3g,217IU,0mg,11mg
Gomen Wat,130mg,88,0mg,4g,134mcg,1mg,16mg,1mg,73,261mg,2.7g,4.39130449295044,185093/gomen-wat/,east-african,1.0g,408mg,2g,0mg,Gomen Wat,10.1g,5g,5286IU,0mg,61mg
Ethiopian Chicken,25mg,157,34mg,1.1g,13mcg,1mg,30mg,6mg,33,206mg,14.2g,3.95121955871582,55826/ethiopian-chicken/,east-african,2.0g,2440mg,2g,0mg,Ethiopian Chicken,6.2g,8.3g,68IU,0mg,2mg
